序号,位置,目标,扭矩,速度,电流,温度,电压,状态
0,2130,0,0,0,0,31,117,0,END
1,2130,0,0,0,0,31,117,0,END
2,2130,0,0,0,0,31,117,0,END
3,2130,0,0,0,0,31,117,0,END
4,2130,0,0,0,0,31,117,0,END
5,2130,0,0,0,0,31,117,0,END
6,2130,0,0,0,0,31,118,0,END
7,2130,0,0,0,0,31,117,0,END
8,2130,0,0,0,0,31,117,0,END
9,2130,0,0,0,0,31,117,0,END
10,2130,0,0,0,0,31,117,0,END
11,2130,0,0,0,0,31,117,0,END
12,2130,0,0,0,0,31,117,0,END
13,2130,0,0,0,0,31,117,0,END
14,2130,0,0,0,0,31,117,0,END
15,2130,0,0,0,0,31,117,0,END
16,2130,0,0,0,0,31,117,0,END
17,2130,0,0,0,0,31,117,0,END
18,2130,0,0,0,0,31,117,0,END
19,2130,0,0,0,0,31,117,0,END
20,2130,0,0,0,0,31,117,0,END
21,2130,0,0,0,0,31,117,0,END
22,2130,0,0,0,0,31,117,0,END
23,2130,0,0,0,0,31,118,0,END
24,2130,0,0,0,0,31,117,0,END
25,2130,0,0,0,0,31,117,0,END
26,2130,0,0,0,0,31,117,0,END
27,2130,0,0,0,0,31,117,0,END
28,2130,0,0,0,0,31,117,0,END
29,2130,0,0,0,0,31,117,0,END
30,2130,0,0,0,0,31,117,0,END
31,2130,0,0,0,0,31,117,0,END
32,2130,0,0,0,0,31,117,0,END
33,2130,0,0,0,0,31,117,0,END
34,2130,0,0,0,0,31,117,0,END
35,2130,0,0,0,0,31,117,0,END
36,2130,0,0,0,0,31,117,0,END
37,2130,0,0,0,0,31,117,0,END
38,2130,0,0,0,0,31,117,0,END
39,2130,0,0,0,0,31,117,0,END
40,2130,0,0,0,0,31,117,0,END
41,2130,0,0,0,0,31,117,0,END
42,2130,0,0,0,0,31,117,0,END
43,2130,0,0,0,0,31,117,0,END
44,2130,0,0,0,0,31,117,0,END
45,2130,0,0,0,0,31,117,0,END
46,2130,0,0,0,0,31,117,0,END
47,2130,0,0,0,0,31,117,0,END
48,2130,0,0,0,0,31,117,0,END
49,2130,0,0,0,0,31,117,0,END
50,2130,0,0,0,0,31,117,0,END
51,2130,0,0,0,0,31,117,0,END
52,2130,0,0,0,0,31,117,0,END
53,2130,0,0,0,0,31,117,0,END
54,2130,0,0,0,0,31,117,0,END
55,2130,0,0,0,0,31,117,0,END
56,2130,0,0,0,0,31,117,0,END
57,2130,0,0,0,0,31,117,0,END
58,2130,0,0,0,0,31,117,0,END
59,2130,0,0,0,0,31,117,0,END
60,2130,0,0,0,0,31,117,0,END
61,2130,0,0,0,0,31,117,0,END
62,2130,0,0,0,0,31,117,0,END
63,2130,0,0,0,0,31,117,0,END
64,2130,0,0,0,0,31,117,0,END
65,2130,0,0,0,0,31,117,0,END
66,2130,0,0,0,0,31,117,0,END
67,2130,0,0,0,0,31,117,0,END
68,2130,0,0,0,0,31,117,0,END
69,2130,0,0,0,0,31,117,0,END
70,2130,0,0,0,0,31,117,0,END
71,2130,0,0,0,0,31,117,0,END
72,2130,0,0,0,0,31,117,0,END
73,2130,0,0,0,0,31,117,0,END
74,2130,0,0,0,0,31,117,0,END
75,2130,0,0,0,0,31,117,0,END
76,2130,0,0,0,0,31,117,0,END
77,2130,0,0,0,0,31,117,0,END
78,2130,0,0,0,0,31,117,0,END
79,2130,0,0,0,0,31,117,0,END
80,2130,0,0,0,0,31,117,0,END
81,2130,0,0,0,0,31,118,0,END
82,2130,0,0,0,0,31,117,0,END
83,2130,0,0,0,0,31,117,0,END
84,2130,0,0,0,0,31,117,0,END
85,2130,0,0,0,0,31,117,0,END
86,2130,0,0,0,0,31,117,0,END
87,2130,0,0,0,0,31,117,0,END
88,2130,0,0,0,0,31,117,0,END
89,2130,0,0,0,0,31,117,0,END
90,2130,0,0,0,0,31,117,0,END
91,2130,0,0,0,0,31,117,0,END
92,2130,0,0,0,0,31,117,0,END
93,2130,0,0,0,0,31,117,0,END
94,2130,0,0,0,0,31,117,0,END
95,2130,0,0,0,0,31,117,0,END
96,2130,0,0,0,0,31,117,0,END
97,2130,0,0,0,0,31,117,0,END
98,2130,0,0,0,0,31,117,0,END
99,2130,0,0,0,0,31,117,0,END
100,2130,0,0,0,0,31,117,0,END
101,2130,0,0,0,0,31,117,0,END
102,2130,0,0,0,0,31,117,0,END
103,2130,0,0,0,0,31,117,0,END
104,2130,0,0,0,0,31,117,0,END
